timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673813382594,869,Post user,200,OK,Crud users 1-123,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,869,0,619
1673813382400,1064,Post user,200,OK,Crud users 1-25,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1004,0,798
1673813382511,953,Post user,200,OK,Crud users 1-81,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,953,0,695
1673813382620,844,Post user,500,Internal Server Error,Crud users 1-136,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,844,0,609
1673813382539,925,Post user,200,OK,Crud users 1-95,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,925,0,666
1673813383212,253,Patch user,200,OK,Crud users 1-1,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/650,193,0,0
1673813383233,232,Patch user,200,OK,Crud users 1-41,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/859,232,0,0
1673813382577,921,Post user,200,OK,Crud users 1-114,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,921,0,672
1673813382572,927,Post user,500,Internal Server Error,Crud users 1-112,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,927,0,654
1673813383302,205,Patch user,200,OK,Crud users 1-30,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/943,205,0,0
1673813382598,926,Post user,200,OK,Crud users 1-125,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,809,0,630
1673813382578,946,Post user,200,OK,Crud users 1-115,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,946,0,646
1673813382455,1070,Post user,500,Internal Server Error,Crud users 1-53,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,1070,0,789
1673813382667,858,Post user,200,OK,Crud users 1-159,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,858,0,585
1673813382662,864,Post user,500,Internal Server Error,Crud users 1-157,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,864,0,579
1673813382563,968,Post user,200,OK,Crud users 1-107,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,876,0,650
1673813382580,951,Post user,200,OK,Crud users 1-116,text,true,,309,322,500,500,https://accor-fab.herokuapp.com/dev/users,951,0,639
1673813382586,945,Post user,200,OK,Crud users 1-119,text,true,,310,322,500,500,https://accor-fab.herokuapp.com/dev/users,945,0,649
1673813383351,183,Patch user,200,OK,Crud users 1-7,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/840,183,0,0
1673813383358,177,Patch user,405,Method Not Allowed,Crud users 1-46,,false,,166,324,500,500,https://accor-fab.herokuapp.com/dev/users/,177,0,0
1673813383293,242,Patch user,200,OK,Crud users 1-45,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/618,242,0,0
1673813382629,906,Post user,200,OK,Crud users 1-140,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,810,0,601
